CFCP;CAMARA FEDERAL de CASACION PENAL    
CFSS;CAMARA FEDERAL de la SEGURIDAD SOCIAL
CNACO;CAMARA NACIONAL de APELACIONES en lo COMERCIAL    
CNAT;CAMARA NACIONAL de APELACIONES del TRABAJO
CNACI;CAMARA NACIONAL de APELACIONES en lo CIVIL
CNACC;CAMARA NACIONAL de APELACIONES en lo CRIMINAL y CORRECCIONAL
